,cantidad_palabras,criticidad,sentimiento,medio_La Prensa,medio_TVN,medio_Telemetro,categoria_original_contenido-exclusivo,categoria_original_deportes,categoria_original_economia,categoria_original_entretenimiento,categoria_original_mundo,categoria_original_nacionales,categoria_original_otro,categoria_original_politica,categoria_original_salud,categoria_original_tecnologia,anio,mes
0,379,0,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
1,222,13,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
2,584,18,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
3,413,10,-0.98,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
4,383,4,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
5,442,17,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
6,377,0,-1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
7,413,0,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
8,266,16,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
9,357,15,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
10,248,0,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
11,264,0,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
12,213,10,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
13,250,3,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
14,263,0,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
15,311,10,-1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
16,221,0,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
17,231,10,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
18,512,7,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
19,574,18,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
20,570,0,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
21,287,5,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
22,293,6,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
23,345,0,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
24,268,23,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
25,307,0,-0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
26,414,13,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
27,576,0,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
28,872,24,-1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
29,357,3,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
30,297,0,-0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
31,151,0,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
32,292,10,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
33,546,11,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
34,556,5,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
35,387,3,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
36,384,20,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
37,162,13,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
38,364,0,-0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
39,769,27,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
40,286,0,-1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
41,442,5,-0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
42,298,9,-0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
43,318,10,0.85,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,7
44,653,15,0.95,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
45,674,16,-0.8,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
46,515,22,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
47,541,53,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
48,692,18,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
49,692,28,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
50,332,32,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
51,405,9,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
52,432,17,-1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
53,234,5,-0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
54,169,0,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
55,347,35,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
56,112,10,-1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
57,207,5,-1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
58,194,46,-0.8,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
59,603,18,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
60,303,9,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
61,668,0,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
62,256,0,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
63,332,23,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
64,431,16,-0.8,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
65,241,6,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
66,662,35,-0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
67,348,30,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
68,391,6,-0.8,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
69,781,39,0.85,0,1,0,0,0,0,0,1,0,0,0,0,0,2026,7
