medio,titulo,fecha,categoria_original,texto,url,categoria_predicha,palabras_criticas,sentimiento,es_alerta,nivel_alerta
La Prensa,jose raul mulino: primer presidente panameno en cruzar la linea roja,2026-06-18,otro,"cruzar el line roja ser uno frase utilizado mundialmente y que hacer referencia a uno punto imaginario de no retorno o a uno linea en el arena o a uno limite que , uno vez sobrepasado , el seguridad ya no poder ser g ...",https://www.prensa.com/opinion/jose-raul-mulino-primer-presidente-panameno-en-cruzar-la-linea-roja/,seguridad,0,negativo,False,sin alerta
La Prensa,"muere enrique mendoza, formador de generaciones de medicos y exdecano de la up",2026-06-18,otro,"el medicina panamenar este de luto por el fallecimiento este tarde de enrique mendoza , exdecano de el facultad de medicina de el universidad de panama ( up ) , reconocido endocrinologo , internista , investigador y docente ...",https://www.prensa.com/sociedad/muere-enrique-mendoza-formador-de-generaciones-de-medicos-y-exdecano-de-la-up/,nacionales,0,negativo,False,sin alerta
La Prensa,trump firma el acuerdo de entendimiento con iran durante su vista a versalles,2026-06-18,mundo,"el presidente de estados unidos , donald trump , aseguro este miercol que firmo el acuerdo con iran mientras él encontrar en el palacio de versall , francia , sin dar mas detalle sobre el firma ....",https://www.prensa.com/mundo/trump-firma-el-acuerdo-de-entendimiento-con-iran-durante-su-vista-a-versalles/,nacionales,0,positivo,False,sin alerta
TVN,gobierno prorroga por seis meses el precio maximo de venta de agua embotellada en herrera y los santos,2026-06-17,nacionales,"el organo ejecutivo prorrogo por uno periodo de seis mes el vigencia del decreto que establecer temporalmente uno precio tope o maximo de venta al por menor de agua embotellado en diverso presentación , aplicable en el provincia de herrera y el santos . 
 el medida quedo establecido mediante el decreto ejecutivo no . 10 del 12 de junio de 2026 , publicado en gaceta oficial , y buscar mantener condición de acceso a este producto ante el situacion que atravesar ambos provincia debido a el crisis hidrico registrado en el region . 
 el decreto extender el vigencia del decreto ejecutivo no . 24 del 12 de junio de 2025 , que habiar fijado inicialmente el regulacion de precio del agua embotellado como uno medida temporal . el nuevo disposicion tendra efecto a partir del 14 de junio de 2026 y él mantendrar por seis mes . 
 de acuerdo con el documento oficial , el ejecutivo tomo este decision debido a que el agua continuo sin ser apta para consumo humano en alguno area , él que haber generar uno demanda extraordinario de agua embotellado en herrera y el santos . 
 poder leer : crisis de agua en azuero llevar al minsa a coordinar con ingeniero de estados unido 
 adema , el norma senalo que el regulacion buscar evitar aumento injustificado de precio y posible practica de acaparamiento , garantizar que el poblacion poder adquirir este recurso esencial en medio de el emergencia . 
 el decision él fundamentar en el facultad otorgado al estado para intervenir temporalmente en el regulacion de precio de determinado bien y servicio , segun establecer el constitucion politico y el ley 45 de 2007 . 
 el autoridad indicar que el continuidad de este medida permitirar brindar mayor proteccion a el consumidor mientras él mantener el condición que originar el regulacion .",https://www.tvn-2.com/nacionales/gobierno-prorroga-seis-meses-precio-agua-embotellada-herrera-los-santos_1_2246590.html,politica,3,positivo,True,media
TVN,"alerta amber  gobierno reglamenta ley e incorpora inteligencia artificial, y geolocalizacion para busqueda",2026-06-17,nacionales,"panamaun ano despues de que el presidente jo él raul mulino sancionar el ley 469 del 8 de mayo de 2025 , que subrogo el ley 230 de 24 de junio de 2021 , el gobierno reglamento el sistema nacional de alerta amber con nuevo herramienta tecnologica y procedimiento orientado a agilizar el localizacion de nino , nina y adolescente desaparecido . 
 el decreto ejecutivo no . 11 , publicado este miercol en gaceta oficial no . 30548 , definir el función de el oficina de activacion temprano y establecer el mecanismo de coordinacion entre el institución involucrado en el busqueda y recuperacion de menor reportado como desaparecido . 
 al igual que el ley 469 dejar claro que habrar uno plazo maximo de cinco hora para que , uno vez recibir el denuncia y en condición normal , él proceder con el difusion publicar de el alerta , con el objetivo de acelerar el respuesta de el autoridad . 
 el nuevo normativa incorporo el uso de herramienta tecnologica avanzado para fortalecer el labor de busqueda . entre él figurar el inteligencia artificial , sistema de geolocalizacion , camara de videovigilancia ( cctv ) , drón y aplicación movil . este tecnologia estarir bajo el coordinacion del sistema nacional de alerta amber y deberan utilizar él respetar el norma de proteccion de dato personal . 
 el reglamentacion tambien creer uno estructura permanente encargado de recibir denuncia , verificar el informacion , coordinar el activacion y desactivacion de el alerta . el oficina de activacion temprano contar con unidad de operación , comunicacion digital , analisis y estadistico , tecnologia e infraestructura , comunicacion estrategico y asesorio legal . 
 el busquedo podra apoyar él en uno amplio red de difusion que incluir radio , television , prensa escrito y digital , red social oficial , mensaje de texto y sistema cell broadcast , panel electronico , terminal de transporte , aeropuertos , puerto y empresa privado que él adherir al sistema . 
 el reglamentacion contemplar mecanismo de cooperacion internacional cuando existir riesgo de que uno menor haber ser trasladar fuera del pais . 
 en ese caso , el oficina de activacion temprano trabajara de manera coordinado con el interpol , el servicio nacional de migracion , el ministerio publico y otro instancia internacional competente . 
 el poblacion tambien podra participar activamente en el sistema mediante report a trav del 911 , el linea 104 , plataforma digital y otro canal de mensajeria y comunicacion oficial . 
 el norma establecer responsabilidad administrativo , civil o penal para quien incumplar el obligación previsto en el sistema o suministrir informacion falso con el intencion de activar uno alerta . 
 adema , el medio de comunicacion que alterir , manipulen o hacer uno uso indebido de el informacion oficial de el alerta amber podrar ser objeto de el sanción correspondiente .",https://www.tvn-2.com/nacionales/alerta-amber-gobierno-reglamenta-ley-usaran-inteligencia-artificial-drones-para-localizar-menores_1_2246593.html,politica,0,positivo,False,sin alerta
TVN,realizan caracterizacion de roedores en montijo para fortalecer vigilancia contra el hantavirus,2026-06-17,nacionales,"con el proposito de identificar el especie de roedor presente en el region y reforzar el medida de vigilancia epidemiologico , el instituto conmemorativo gorgas de estudio de el salud ( icges ) , en conjunto con el ministerio de salud ( minsa ) , desarrollar uno jornada de caracterizacion de roedor en el distrito de montijo , provincia de veragua . 
 el actividad contar con el participacion de especialista del instituto gorgas y personal tecnico de el region de salud de veragua , quien realizar trabajo de campo enfocado en el identificacion de especie de roedor y el recopilacion de dato cientifico que permitir fortalecer el estrategia de prevencion y control del hantavirus . el jornada él extenderar durante todo el semana . 
 bla armien , representante del instituto conmemorativo gorgas , explico que este iniciativo forma parte de uno proceso de investigacion y capacitacion dirigido al personal regional de control de vector , con enfasis en el factor ecologico relacionado con el enfermedad . 
 segun detallo , el objetivo ser ampliar el conocimiento del equipo tecnico sobre el comportamiento de el roedor , su habitat y el relacion que mantener con el transmision del virus , informacion clave para mejorar el acción de prevencion en el comunidad . 
 poder leer : autoridad de montijo convocar consejo extraordinario ante aumento de caso de hantavirus 
 el area sur de veragua , que incluir el distrito de sona , el palma , montijo y mariato , ser considerar uno zona endemico para el hantavirus , por él que requerir uno vigilancia constante . en este provincia él haber registrar caso desde 2003 y actualmente él contar con el tres elemento fundamental para el estudio de el enfermedad : el presencia de roedor que actuan como reservorio , el identificacion del virus y el deteccion de caso en humano . 
 el investigacion permitirar fortalecer el capacidad del personal de salud y generar mayor conocimiento sobre el especie involucrado en el transmision del hantavirus . 
 asi mismo , él destacar que el trabajo conjunto entre el instituto gorgas y el minsa representar uno oportunidad importante para el region de salud de veragua , ya que permitirar obtener informacion actualizado sobre el población de roedor en el provincia y mejorar el estrategia de prevencion frente a enfermedad zoonotica .",https://www.tvn-2.com/nacionales/realizan-caracterizacion-roedores-montijo-fortalecer_1_2246587.html,politica,0,positivo,False,sin alerta
TVN,"unachi: contralor confirma pago de planilla, pero advierte que la crisis continuara hasta fin de ano",2026-06-17,nacionales,"panamatra semana de incertidumbre y reclamos por atraso salarial , el mas de 2.000 funcionario de el universidad autonomo de chiriqui ( unachi ) comenzar a recibir el pago correspondiente a el quincena pendiente , anuncio el contralor general de el republica , anel flores . 
 de acuerdo con el contralor , el desembolso él lograr luego de coordinación entre el contraloria , el ministerio de economia y finanza y el ministerio de educacion . 
 el contralor indico que desde hora de el manana comenzar a procesar él el pago mediante cheque y transferencia bancario . 
 sin embargo , advirtio que el problema financiero que enfrentar el casa de estudio superior no desaparecera con este desembolso . 
 flor reconocio que el falta de presupuesto de el universidad continuar representar uno desafio durante el resto del ano . 
 el falta de dinero y presupuesto que tener el unachi no ser uno problema de hoy , este yo ir a seguir afectar hasta el finalizacion del ano , afirmo . 
 ante este panorama , el jefe de el contraloria planteo el necesidad de introducir cambio en el estructura administrativo de el institucion . 
 el declaración del contralor él producir luego de el manifestación de estudiante y funcionario , quien habiar advertido que el retraso salarial podriar afectar el desarrollo normal de el actividad academica . 
 caber senalar que , este ser el   56 . de el oea y sera el tercero ocasion en que panamar albergar este importante encuentro hemisferico . el dos edición anterior él realizar en 1996 y 2007 , consolidar al pais como uno de el sed recurrente de este foro regional . 
 con informacion de jorge quiros .",https://www.tvn-2.com/nacionales/unachi-contralor-anel-flores-anuncia-pago-planilla-crisis-financiera-continuara_1_2246585.html,nacionales,0,negativo,False,sin alerta
TVN,raul castro respalda reformas economicas en cuba,2026-06-17,mundo,"el habana , cubael expresidente cubano raul castro dar su visto bueno este miercol a uno paquete de reforma economica debatida por el maximo representante del partido comunista ( pcc , unico ) en el habana para hacer frente a el crisis en el isla , bajo presion de washington . 
 castro , de 95 ano , no ocupar cargo oficial , pero seguir ser uno figura clave del poder en cuba . el presidencia informo en su cuenta en x que participo en el reunion por videoconferencia . 
 en uno carta firmado por el exmandatario y presentado durante el encuentro , castro afirmoir que transformar el economia "" ser él que mas convenir hoy a el revolucion "" . 
 el comite central del pcc analizo en el pleno extraordinario uno veintena de propuesta orientado a abrir mas sector a el inversion privado , atraer mayor capital de cubano residente en el exterior y reducir el tamano del estado , en medio del bloqueo petrolero impuesto por estados unido a el isla desde enero . 
 el reforma , presentado previamente por el presidente miguel diaz-canel , podriar ser aprobar por el asamblea nacional tanto pronto como el jueves , menos de uno semana despues de su anuncio . 
 sin embargo , no quedar claro si este medida serar suficiente para satisfacer al presidente estadounidense , donald trump , quien haber dejar claro que buscar uno cambio y haber sugerir el posibilidad de "" tomar el control "" de el isla situado a uno 90 milla ( 150 kilometro ) de florida . 
 tras anos de negar el magnitud del problema , el gobierno cubano parecer obligado a actuar ante el deterioro economico , el presion social y el creciente aislamiento internacional , que reducir cada vez mas su margen de maniobra . 
 el bloqueo petrolero impuesto por trump en enero haber llevar a el ya debilitado economia cubano al borde del colapso , marcado por apagón que a superar el 30 hora y escasez de alimento , combustible , agua potable y medicina . 
 el empresa privado , autorizado en 2021 y que poder emplear hasta 100 persona , él haber convertir en uno componente cada vez mas importante de el economia . 
 diaz-canel senalo que el cubano tanto en el isla como en el exterior tendrar el mismo condición que el inversionista extranjero , alguno de el cual él haber retirar recientemente debido a el sanción estadounidense . 
 tambien haber anunciar plan para reducir el tamano del estado mediante el disminucion del numero de ministerio y empleado publico .",https://www.tvn-2.com/mundo/raul-castro-respalda-reformas-economicas-cuba_1_2246621.html,politica,1,negativo,True,baja
TVN,del g7 a versalles: la relacion chapada en oro entre macron y trump,2026-06-17,mundo,"versall , franciasque mejor que versallar para deslumbrar a donald trump ? emmanuel macron , satisfecho con su cumbre del g7 , él recibir el miercol para uno cena en el palacio , uno fastuoso cierre de oro para uno viaje en el que el presidente estadounidense él mostro particularmente complaciente . 
 trump partio de evian a primero hora de el tarde y ser recibir calurosamente a el entrada de versall , a el luz del atardecer , por emmanuel macron y su esposa brigitte , a quien beso en el mejilla . 
 el palacio de versall , cerca de pari , ser elegir para este cena que celebrar el 250 ano de el independencia estadounidense . el eliseo destacar que él tratar de uno "" lugar emblematico de el amistad "" franco-estadounidense , ya que alli él firmo uno tratado en 1783 . 
 pero el palacio del rey sol tambien ser "" algo impresionante "" , admitio trump , cuyo pasion por el oro no necesitar explicacion . 
 para que poder apreciar él en todo su magnitud , emmanuel macron él organacer uno visita privado , que incluyo el galeria de el espejo , uno muestra dedicado a el guerra de independencia de estados unidos y uno concierto en el capilla real . 
 el recorrido ser interrumpir por uno conversacion telefonico de ambos president con su homologo ucraniano , volodimir zelenski , por iniciativa de macron , segun el eliseo . zelenski decir haber hablar con él sobre el discusión de el cumbre del g7 . 
 macron y trump cenar luego en el suntuoso galeria bajo . el menu incluyo uno aperitivo a base de cerdo negro de bigorre , uno plato de esparrago blanco y ave , uno bandeja de queso ( francés ) y pastel de chocolate . 
 uno treinta persona disfrutar de este banquete , entre él representante de el gobierno estadounidense y franz , asi como del sector empresarial , entre quien él encontrar el grande ejecutivo bernard arnault ( lvmh ) , patrick pouyanne  ( totalenergi ) y rodolphe saade ( cma cgm ) . 
 tres hora despues de su llegada , trump ser acompanar al vehiculo que él llevariar al aeropuerto alrededor de el 01h00 del jueves ( 23h00 gmt de miercol ) por el matrimonio macron , de quien él despidiir antes de partir . 
 macron disfruta de el buen relacion que haber mostrar en el ultimo dia con el impredecible presidente estadounidense , en quien "" siempre haber confiar "" , segun decir el miercol . 
 pero para el , él tratar de hacer el cosa a él grande sin exagerar , a riesgo de que él acusar de zalameria . 
 su opositor él reprochar haber organizar este cena "" con gran pompa "" , con uno importante dispositivo de seguridad , para complacer al multimillonario republicano . 
 "" definitivamente haber que aprender a vivir sin trump "" , protesto jean-luc melenchon , candidato a el presidencial de 2027 por el partido de izquierda radical francia insumisar . 
 "" no ser uno cena de gala "" , respondar el lunes el jefe de estado . 
 pero habio que asegurar él de que el presidente estadounidense -a quien no él gustar mucho el grande reunión multilateral y que el ano pasado él retirar anticipadamente del g7 en canada- él quedar este vez hasta el final de el cumbre de evian , al pie de el alpes francés . 
 "" no yo avergoncer de él que ser . versall ser uno instrumento diplomatico y uno instrumento de poder "" , afirmoir macron.no obstante , afirmoir que nunca él haber mostrar "" ambiguo ni debil "" frente a trump . 
 el presidente estadounidense , por su parte , no siempre haber ser amable con macron , a quien conocer desde hacer 10 ano . 
 en el plano personal , el relacion franco-estadounidense él habiar enfriado considerablemente en el ultimo mes . el critica hacia macron habiar alcanzado su punto algido cuando trump llego incluso a burlar él de su vida conyugal . 
 antes de llegar a el cumbre de evian , el mandatario estadounidense amenazo con imponer arancel del 100 al vino franz si pari no retirar uno impuesto a el gigante de el tecnologia . 
 pero trump finalmente no volver a sacar el tema a colacion y el europeo parecer bastante satisfecho con su conversación con el , especialmente sobre ucrania . 
 al terminar el cumbre , que el presidente estadounidense califico de "" extremadamente exitoso "" , incluso multiplico el elogio hacia su homologo franz , a quien describio como uno "" amigo especial "" y uno "" hombre mucho amable "" . tambien decir que brigitte macron ser "" uno persona fantastico "" .",https://www.tvn-2.com/mundo/g7-versalles-relacion-chapada-oro-emmanuel-macron-donald-trump_1_2246617.html,nacionales,0,neutral,False,sin alerta
TVN,eeuu e iran ratifican que firmaron acuerdo para poner fin a la guerra en oriente medio,2026-06-17,mundo,"estados unidos e iran confirmar el firma de uno acuerdo para poner fin a el guerra en oriente medio y divulgar el texto del memorandum de entendimiento mediante el cual teheran él comprometer a diluir su reserva de uranio enriquecido en el marco de futuro negociación . 
 el presidente de estados unidos , donald trump , firmo personalmente uno copia del acuerdo este miercol durante uno cena con el presidente franz , emmanuel macron , en el palacio de versall , tras el cumbre del g7 , confirmar a afp uno funcionario estadounidense . 
 por su parte , iran recordo que ya habiar suscrito el documento de forma electronico y sugirio que podriar no ser necesario uno ceremonia formal de firma el proximo viernes en suiza , como él habiar previsto inicialmente . 
 "" el texto del memorandum de entendimiento de islamabad quedo finalizado con el firma de el president . ahora ser momento de poner a prueba el implementacion de este acuerdo "" , declaro el portavoz del ministerio de exteriores irani , esmail baghai , citado por el agencia irno . 
 el funcionario anadio que el firma él realacer de manera electronico y que uno ceremonia oficial "" realmente no tener sentido "" . 
 washington y teheran alcanzar este memorandum de entendimiento con el objetivo de poner fin al conflicto desencadenado el 28 de febrero tras el ataque de estados unidos e israel contra el republica islamico . el guerra él extendio por el region y dejar mil de muerto , principalmente en iran y libano . 
 el acuerdo tambien incluir disposición relacionado con el frente libán . 
 el secretario general del movimiento chiita libán proirani hezbola , naim qasem , calificar el pacto como uno "" gran victoria "" para iran y agradecio que el pais persa insistierar en incluir el situacion en libano dentro de el negociación . 
 durante uno discurso televisado , llamar a "" aprovechar "" el acuerdo para "" expulsar a israel "" del territorio libán . 
 libano quedo involucrado en el conflicto cuando hezbola lanzo cohet contra israel el pasado 2 de marzo en apoyo a iran . 
 qasem tambien insto al gobierno libán a abandonar el negociación directo con israel iniciado en abril bajo mediacion estadounidense . 
 sin embargo , el presidente libán , joseph aoun , reiterar que ese proceso ser "" independiente "" del acuerdo alcanzado entre washington y teheran . 
 el texto del memorandum , leido por uno alto funcionario estadounidense ante periodista , establecer que estados unidos suspendero de inmediato el sanción vinculado a el venta de petroleo irani y al bloqueo de puerto del pais . 
 adema , washington él comprometer a levantar todo el sanción contra teheran si ambos parte lograr uno acuerdo definitivo al termino de uno periodo de negociación de 60 dia . 
 durante ese plazo , el dos país discutiran uno mecanismo para gestionar el reserva de uranio enriquecido de iran , uno de el principal punto de friccion debido a el acusación estadounidense de que teheran buscar desarrollar arma nuclear . 
 el plan contemplar uno proceso de dilucion in situ del uranio bajo supervision del organismo internacional de energia atomico ( oiea ) . 
 asimismo , iran debera permitir en uno plazo de 30 dia el restablecimiento completo del trafico maritimo en el estrategico estrecho de ormuz , cuyo bloqueo haber generar preocupacion por su efecto sobre el economia mundial . 
 no obstante , el negociador principal irani , mohamad baqer qalibaf , advirtio que el paso maritimo "" no volvera a el situacion anterior a el guerra "" . 
 "" iran tener derecho de soberania sobre ormuz y , por supuesto , cobrar uno peaje por este servicio "" , afirmoir en declaración a el television estatal irani . 
 segun el memorandum , iran realizar todo el gestión necesario para garantizar durante 60 dia el transito seguro de embarcación comercial por el estrecho . 
 el acuerdo tambien contemplar que , en caso de alcanzar él uno pacto definitivo , estados unidos facilitar junto a su socio regional el creacion de uno fondo de 300000 millón de dolar destinado a el reconstruccion y el desarrollo economico de iran , sin aporte financiero directo de washington . 
 en uno declaracion conjunto , el país del g7 alemania , canado , estados unidos , francia , italia , japon y reino unido calificar el acuerdo como "" uno oportunidad historico para impedir que iran adquirir arma nuclear y abordar el amenaza derivado de su actividad regional y balistica "" . 
 china tambien respaldo el entendimiento y considero "" esencial "" que todo el parte cumplir rigurosamente su compromiso y eviten interferencia externo . 
 el posicion ser transmitir durante uno conversacion telefonico entre el ministro de relaciones exteriores chino , wang yi , y su homologo irani , abas araqchi , segun informo pekin . 
 el jefe de el diplomacia chino , cuyo pai depender en gran medida de el importación de petroleo procedente del golfo persico , subrayo adema el necesidad de gestionar adecuadamente el navegacion en el estrecho de ormuz para responder a el preocupación de el comunidad internacional . 
 el incertidumbre en torno al acuerdo él reflejar temporalmente en el mercado . el precio del petroleo registrar uno repunte cercano al 5 durante el jornada del miercol , aunque el barril de brent , referencia internacional del crudo , cerrar el dia cerca de el 80 dolar .",https://www.tvn-2.com/mundo/eeuu-e-iran-ratifican-firmaron_1_2246616.html,nacionales,0,positivo,False,sin alerta
