medio,titulo,fecha,categoria_original,texto,url
La Prensa,Detienen en Tocumen a ciudadano turco buscado por fraude y lavado de activos en Estados Unidos,2026-06-16,judiciales,El Servicio Nacional de Migración dio a conocer que detuvo en el Aeropuerto Internacional de Tocumen a un ciudadano de nacionalidad turca que era requerido por las autoridades de Estados Unidos por los delitos de frau...,https://www.prensa.com/judiciales/detienen-en-tocumen-a-ciudadano-turco-buscado-por-fraude-y-lavado-de-activos-en-estados-unidos/
La Prensa,Cepanim: Jubilados piden reducir al 7% la comisión por canje en el Banco Nacional,2026-06-15,economia,"El dirigente de los jubilados, Guillermo Cortés, lanzó este lunes un llamado al Órgano Ejecutivo para que se reduzca del 10% al 7% la tasa de descuento institucional que aplica el Banco Nacional de Panamá (BNP) al mom...",https://www.prensa.com/economia/cepadim-jubilados-piden-reducir-al-7-la-comision-por-canje-en-el-banco-nacional/
La Prensa,Uruguay evita otro milagro de Arabia Saudí,2026-06-16,deportes,"Arabia Saudí lo rozó, pero no pudo repetir ante Uruguay el milagro de Catar 2022 ante Argentina. Aprovechó el dubitativo arranque de los uruguayos para adelantarse en el marcador, y aunque aguantó de forma numantina d...",https://www.prensa.com/deportes/uruguay-evita-otro-milagro-de-arabia-saudi/
La Prensa,Primer ministro canadiense refuerza la cooperación con la UE en defensa y protección de los océanos,2026-06-16,mundo,"El primer ministro canadiense, Mark Carney, reforzó este lunes la cooperación de Canadá con la Unión Europea (UE) en materia de defensa, seguridad, tecnología y conservación marina durante una reunión con los presiden...",https://www.prensa.com/mundo/primer-ministro-canadiense-refuerza-la-cooperacion-con-la-ue-en-defensa-y-proteccion-de-los-oceanos/
La Prensa,Crítica al crítico,2026-06-16,opinion,"Dice Vladimir Nabokov que “después del derecho a crear, es el derecho a criticar el don más valioso que la libertad de pensamiento y de expresión puede ofrecer”, pero no de cualquier manera: tener un derecho no convie...",https://www.prensa.com/opinion/critica-al-critico/
La Prensa,2028: la oportunidad de construir un mejor servicio eléctrico y una mejor tarifa,2026-06-16,opinion,"Pocas cosas unen tanto a los panameños como una conversación sobre la luz. No importa la provincia, la profesión ni la edad: cuando se va la energía, todos tenemos algo que decir. Unos hablan de los apagones, otros de...",https://www.prensa.com/opinion/2028-la-oportunidad-de-construir-un-mejor-servicio-electrico-y-una-mejor-tarifa/
La Prensa,El Mundial en tiempos de miedo,2026-06-16,opinion,"El jueves 12 de junio, Estados Unidos abrió finalmente las puertas al mundo para celebrar la Copa Mundial de Fútbol de 2026. Millones de personas siguieron con entusiasmo el inicio de la mayor fiesta deportiva del pla...",https://www.prensa.com/opinion/el-mundial-en-tiempos-de-miedo/
La Prensa,"La paradoja del defensor penal, entre la doctrina y el ejercicio",2026-06-16,opinion,"Cuenta la crónica jurídica que el Fiscal, blandiendo un pesado tratado de derecho criminal, pretendía sepultar al acusado bajo el peso de la doctrina, el argumento parecía imbatible, ya que el autor de aquellas líneas...",https://www.prensa.com/opinion/la-paradoja-del-defensor-penal-entre-la-doctrina-y-el-ejercicio/
La Prensa,De cloud-first a cloud-smart,2026-06-16,opinion,"Durante años, el modelo cloud-first fue considerado la estrategia predeterminada de TI. Prometía agilidad, escalabilidad y eficiencia de costos, y para muchas organizaciones cumplió con esas expectativas, acelerando l...",https://www.prensa.com/opinion/de-cloud-first-a-cloud-smart/
La Prensa,Iglesia denuncia requisas ‘humillantes y abusivas’ en centros penitenciarios del país,2026-06-16,judiciales,"La Pastoral Social Cáritas, la Comisión Justicia y Paz y la Pastoral Penitenciaria de la Iglesia católica manifestaron este lunes su “profunda preocupación” ante las denuncias sobre presuntas violaciones a los derecho...",https://www.prensa.com/judiciales/iglesia-denuncia-requisas-humillantes-y-abusivas-en-centros-penitenciarios-del-pais/
La Prensa,Capturan a sospechoso del asesinato de una mujer dentro de un restaurante en Chiriquí,2026-06-15,judiciales,"Un violento crimen sacudió el centro comercial del distrito de David, en la provincia de Chiriquí, al confirmarse el asesinato de una mujer dentro de un establecimiento de comida, informó este lunes el Ministerio Públ...",https://www.prensa.com/judiciales/asesinan-a-una-mujer-dentro-de-un-restaurante-e-identifican-al-sospechoso-como-su-expareja/
La Prensa,"Insultos, amenazas y deepfakes: así viven las defensoras ambientales bajo hostigamiento digital",2026-06-15,unidad-investigativa,"Cuando el presidente panameño José Raúl Mulino anunció su intención de reabrir Cobre Panamá, la mina a cielo abierto más grande de Centroamérica, Raisa Banfield, arquitecta y una de las voces más visibles del movimien...",https://www.prensa.com/unidad-investigativa/insultos-amenazas-y-deepfakes-asi-viven-las-defensoras-ambientales-bajo-hostigamiento-digital/
La Prensa,Cómo opera la ofensiva digital contra quienes cuestionan la reactivación de una polémica mina de cobre en Panamá,2026-06-15,sociedad,"El 28 de noviembre de 2023, los defensores ambientales de Panamá lograron algo único: frenar una mina a cielo abierto ubicada en un corredor biológico protegido. Tras unas protestas inéditas, la Corte Suprema de Justi...",https://www.prensa.com/sociedad/como-opera-la-ofensiva-digital-contra-quienes-cuestionan-la-reactivacion-de-una-polemica-mina-de-cobre-en-panama/
La Prensa,Los cuatro pilares de Panamá: figuras clave en el sueño mundialista,2026-06-14,deportes,"Panamá está a poco de jugar su segundo Mundial y el seleccionado dirigido por Thomas Christiansen viene de disputar siete partidos amistosos previos a su debut mundialista frente a Ghana, el próximo 17 de junio en Tor...",https://www.prensa.com/deportes/las-cuatro-caras-de-panama-los-lideres-de-cada-linea-que-sostienen-el-sueno-de-todo-un-pais/
La Prensa,Panamá vs Ghana: enfoque total y concentración máxima antes del debut mundialista,2026-06-14,deportes,"La selección de Panamá continúa afinando detalles en su campamento base en Canadá, con la mirada puesta en su estreno en la Copa del Mundo 2026 ante Ghana, programado para el próximo miércoles 17 de junio en el BMO Fi...",https://www.prensa.com/deportes/panama-vs-ghana-enfoque-total-y-concentracion-maxima-antes-del-debut-mundialista/
La Prensa,M/V Islamorada: memoria de una embarcación excepcional,2026-06-15,vivir,"Para muchos panameños, especialmente aquellos que crecieron después de la Segunda Guerra Mundial o vivieron en el país a partir de la década de 1960, el nombre M/V Islamorada despierta recuerdos muy particulares. Su s...",https://www.prensa.com/vivir/mv-islamorada-memoria-de-una-embarcacion-excepcional/
La Prensa,Cabo Verde desafía a la historia,2026-06-15,deportes,Cabo Verde firmó este lunes uno de los resultados más importantes de su historia futbolística al empatar 0-0 frente a España en su estreno absoluto en una Copa del Mundo....,https://www.prensa.com/deportes/cabo-verde-desafia-a-la-historia/
La Prensa,Glenn Nyberg será el árbitro del debut de La Roja en el Mundial 2026,2026-06-15,deportes,"Glenn Nyberg será el árbitro encargado de dirigir el partido entre las selecciones de Panamá y Ghana, correspondiente a la primera jornada del grupo L de la Copa del Mundo 2026, encuentro que se disputará el próximo 1...",https://www.prensa.com/deportes/glenn-nyberg-sera-el-arbitro-del-debut-de-la-roja-en-el-mundial-2026/
La Prensa,Panamá destaca el papel de las cuencas hidrográficas en la protección del agua y los ecosistemas,2026-06-15,sociedad,"Las cuencas hidrográficas son territorios esenciales para captar, almacenar y distribuir agua, con la que se abastecen comunidades, ecosistemas y actividades productivas....",https://www.prensa.com/sociedad/panama-destaca-el-papel-de-las-cuencas-hidrograficas-en-la-proteccion-del-agua-y-los-ecosistemas/
La Prensa,Las guardianas del sueño bolivariano en el Istmo,2026-06-14,historias,"Rosa María Domínguez, esposa de Pedro Gual, el secretario de Exteriores de Colombia, sostenía la Gaceta de Colombia entre sus manos y temblaba. Era el 15 de septiembre de 1825. Sus ojos recorrían el texto impreso que ...",https://www.prensa.com/historias/las-guardianas-del-sueno-bolivariano-en-el-istmo/
La Prensa,"Panamá: el país que el mundo debería mirar para establecer empresas, no solo para invertir",2026-06-14,opinion,"Durante años, Panamá ha sido reconocido como un destino estratégico para la inversión. Pero hoy las empresas, además de evaluar dónde pueden crecer, también toman en consideración qué tan rápido pueden empezar a opera...",https://www.prensa.com/opinion/panama-el-pais-que-el-mundo-deberia-mirar-para-establecer-empresas-no-solo-para-invertir/
La Prensa,En Bocas del Toro aprehenden a sospechoso de negociar cheques del Ifarhu,2026-06-15,judiciales,"Personal de la Fiscalía Anticorrupción, en coordinación con agentes de la Dirección de Investigación Judicial (DIJ), aprehendió a un hombre en la provincia de Bocas del Toro, investigado por la presunta comisión de de...",https://www.prensa.com/judiciales/aprehenden-a-sospechoso-de-negociar-cheques-del-ifarhu/
La Prensa,Caso Ifarhu-PASE-U: juez imputa a exdirector regional y a comerciante,2026-03-20,judiciales,La jueza de garantías Yazmín Jaén imputó cargos por la presunta comisión del delito de peculado doloso al exdirector regional del Instituto para la Formación y Aprovechamiento de los Recursos Humanos (Ifarhu) de Panam...,https://www.prensa.com/judiciales/caso-ifarhu-pase-u-juez-imputa-a-exdirector-regional-y-a-comerciante/
La Prensa,‘Coiba no puede volver a ser una prisión’: el sentir de una científica de Coiba-AIP,2026-06-15,sociedad,"Para la investigadora Eloisa Lasso, Coiba es mucho más que una isla rodeada de aguas cristalinas y arrecifes coralinos. Es un laboratorio viviente, un refugio de biodiversidad única y un espacio al que ha dedicado año...",https://www.prensa.com/sociedad/coiba-no-puede-volver-a-ser-una-prision-el-sentir-de-una-cientifica-de-coiba-aip/
La Prensa,Réplica de Cobre Panamá a la investigación ‘Taladores digitales’,2026-06-15,opinion,"Panamá, 15 de junio de 2026...",https://www.prensa.com/opinion/replica-de-cobre-panama-a-la-investigacion-taladores-digitales/
La Prensa,Hoy por hoy: Coiba y la improvisación,2026-06-15,opinion,El traslado sorpresivo de 29 reclusos de alta peligrosidad a Coiba reabre un debate que Panamá creyó cerrado hace más de dos décadas. No se trata únicamente de seguridad pública. También están en juego la legalidad de...,https://www.prensa.com/opinion/hoy-por-hoy-coiba-y-la-improvisacion/
La Prensa,Miambiente pone bajo evaluación el posible impacto de Puerto Barú sobre Coiba,2026-04-08,sociedad,La advertencia ya está sobre la mesa. Y no proviene de actores locales....,https://www.prensa.com/sociedad/miambiente-pone-bajo-evaluacion-el-posible-impacto-de-puerto-baru-sobre-coiba/
La Prensa,Coiba revela una cuna de tiburones y abre una nueva página para la ciencia panameña,2026-04-14,sociedad,"En Coiba, la ciencia avanza como avanzan las mareas: sin estridencia, pero dejando marcas profundas....",https://www.prensa.com/sociedad/coiba-revela-una-cuna-de-tiburones-y-abre-una-nueva-pagina-para-la-ciencia-panamena/
