medio,titulo,fecha,categoria_original,texto,url
Telemetro,Diez privados de libertad permanecen prófugos tras un mes de la fuga masiva en La Joyita,2026-07-07,Nacionales,Un total de diez privados de libertad continúan prófugos tras un mes desde que se registró la fuga masiva de presos del Centro Penitenciario La Joyita. Las autoridades mantienen una recompensa de 4 mil dólares por información que permita su ubicación y recaptura.,https://www.telemetro.com/nacionales/diez-privados-libertad-permanecen-profugos-un-mes-la-fuga-masiva-la-joyita-n6084521
Telemetro,Juan Diego Vásquez no descarta que la Coalición Vamos se convierta en partido político,2026-07-07,Nacionales,"El exdiputado y presidente de la Coalición Vamos, Juan Diego Vásquez, señaló que el movimiento podría convertirse en un partido político si el proyecto de Reformas Electorales llega a ser aprobado de la forma en la que se encuentra redactado actualmente.",https://www.telemetro.com/nacionales/juan-diego-vasquez-no-descarta-que-la-coalicion-vamos-se-convierta-partido-politico-n6084519
Telemetro,Proclaman a José Emilio Moreno Ramos como rector de la Universidad de Panamá,2026-07-07,Nacionales,Este martes se llevó a cabo la proclamación de José Emilio Moreno Ramos como rector de la Universidad de Panamá para el período 2026-2031.,https://www.telemetro.com/nacionales/proclaman-jose-emilio-moreno-ramos-como-rector-la-universidad-panama-n6084518
Telemetro,Aún no se define la conformación de las Comisiones Permanentes de Trabajo de la Asamblea Nacional,2026-07-07,Nacionales,En la Asamblea Nacional aún no se ha definido cómo quedarán conformadas las 15 Comisiones Permanentes de Trabajo. La bancada de Cambio Democrático aspira a seguir presidiendo la Comisión de Presupuesto.,https://www.telemetro.com/nacionales/aun-no-se-define-la-conformacion-las-comisiones-permanentes-trabajo-la-asamblea-nacional-n6084516
Telemetro,Expertos señalan que las estrategias de seguridad deben ser dinámicas,2026-07-07,Nacionales,"Ante la cifra de homicidios registrados en Panamá, especialistas explican que las estrategias de los criminales mutan y perfeccionan su modus operandi, por lo que las acciones y estrategias de seguridad que ejecutan las autoridades no pueden ser estáticas, sino que deben ser dinámicas.",https://www.telemetro.com/nacionales/expertos-senalan-que-las-estrategias-seguridad-deben-ser-dinamicas-n6084513
Telemetro,Implementarán el programa Padres Vigilantes en el Centro Educativo José Guardia Vega,2026-07-07,Nacionales,"El programa Padres Vigilantes será implementado en el Centro Educativo José Guardia Vega, en la provincia de Colón, ante los hechos de  violencia y agresión que se han registrado a lo interno del plantel.",https://www.telemetro.com/nacionales/implementaran-el-programa-padres-vigilantes-el-centro-educativo-jose-guardia-vega-n6084512
Telemetro,"""Tenemos una categoría fuerte"" del Fenómeno de El Niño, informó directora del Imhpa",2026-07-07,Nacionales,"La directora del Instituto de Meteorología e Hidrología de Panamá (Imhpa), Luz Graciela de Calzadilla, dio un balance sobre el estado actual del Fenómeno de El Niño, indicando que estamos ante un evento “fuerte”, y dio detalles sobre lo que se espera para el último trimestre del año.",https://www.telemetro.com/nacionales/tenemos-una-categoria-fuerte-del-fenomeno-el-nino-informo-directora-del-imhpa-n6084510
Telemetro,"Sigue investigación por muerte de representante de Barrio Colón, Héctor Sambrano",2026-07-07,Nacionales,"El Ministerio Público y la Policía Nacional realizan diligencias como parte de la investigación por la muerte del representante de Barrio Colón y exdirector de Becas del Instituto para la Formación y Aprovechamiento de Recursos Humanos (Ifarhu), Héctor Sambrano.",https://www.telemetro.com/nacionales/sigue-investigacion-muerte-representante-barrio-colon-hector-sambrano-n6084511
Telemetro,Representante de Bella Vista prioriza la recuperación de espacios públicos,2026-07-07,Entrevistas,"El representante de Bella Vista, César Kiamco, compartió parte de su informe de gestión de su segundo año de trabajo, el cual contempla mejoras urbanas.",https://www.telemetro.com/entrevistas/nacionales/representante-bella-vista-prioriza-la-recuperacion-espacios-publicos-n6084431
Telemetro,Unicef recauda fondos para ayudar a la niñez en Venezuela,2026-07-07,Entrevistas,"Margarita Sánchez, vocera en Panamá del Fondo de las Naciones Unidas para la Infancia (Unicef), explicó cómo se puede apoyar en la recaudación de fondos para ayudar a niños y niñas de Venezuela que resultaron afectados con los terremotos.",https://www.telemetro.com/entrevistas/nacionales/unicef-recauda-fondos-ayudar-la-ninez-venezuela-n6084429
