,precision,recall,f1-score,support
contenido-exclusivo,1.0,0.75,0.8571428571428571,8.0
deportes,0.9152542372881356,0.9642857142857143,0.9391304347826087,56.0
economia,0.76,0.9047619047619048,0.8260869565217391,21.0
entretenimiento,1.0,0.8947368421052632,0.9444444444444444,19.0
mundo,0.90625,0.9354838709677419,0.9206349206349206,31.0
nacionales,0.65,0.65,0.65,40.0
otro,0.675,0.6585365853658537,0.6666666666666666,41.0
politica,0.8,0.6666666666666666,0.7272727272727273,18.0
accuracy,0.811965811965812,0.811965811965812,0.811965811965812,0.811965811965812
macro avg,0.838313029661017,0.803058948019143,0.8164223759332455,234.0
weighted avg,0.8136025097783574,0.811965811965812,0.8107036012833114,234.0
